Designator,Mid X,Mid Y,Rotation,Layer
C1,19.4897,-69.0797,0.0,top
C10,5.6097,-21.4597,270.0,top
C2,9.4797,-69.1197,0.0,top
C3,22.6697,-45.9197,180.0,top
C4,22.3197,-39.9397,270.0,top
C5,24.6397,-44.6297,270.0,top
C6,24.9497,-15.9997,180.0,top
C7,24.5797,-21.1297,0.0,top
C8,24.584659,-20.114786,180.0,top
C9,8.5597,-24.6797,180.0,top
D+1,28.4397,-8.3297,180.0,top
D+10,65.8797,-70.1397,270.0,top
D+11,24.8997,-62.7922,270.0,top
D+12,34.8897,-82.3197,90.0,top
D+2,42.857561,-24.342429,180.0,top
D+3,32.5372,-43.1497,180.0,top
D+4,32.9172,-62.0397,180.0,top
D+5,22.6597,-62.7797,270.0,top
D+6,36.8697,-82.3272,90.0,top
D+7,28.4397,-6.3797,180.0,top
D+8,103.9897,-35.4397,270.0,top
D+9,84.803484,-49.933361,270.0,top
D1,106.1597,-16.6397,90.0,top
D10,30.1297,-33.1497,90.0,top
D11,124.6897,-37.1297,90.0,top
D12,106.1397,-35.4497,90.0,top
D13,67.4397,-50.7497,90.0,top
D14,49.1797,-51.8997,90.0,top
D15,29.9797,-52.3572,90.0,top
D16,124.8197,-56.2097,90.0,top
D17,106.0097,-54.7672,90.0,top
D18,86.784664,-49.921281,90.0,top
D19,48.6397,-71.3897,90.0,top
D2,86.2197,-3.1997,0.0,top
D20,29.9997,-72.0097,90.0,top
D21,128.1722,-65.9797,0.0,top
D22,105.8897,-73.5097,90.0,top
D23,87.1397,-68.8997,90.0,top
D24,67.8697,-70.1297,90.0,top
D25,24.2497,-54.9197,90.0,top
D26,79.2722,-78.7497,0.0,top
D27,58.1797,-89.4997,90.0,top
D28,39.5097,-90.3797,90.0,top
D29,16.7397,-82.6597,30.0,top
D3,67.6797,-11.6097,90.0,top
D4,48.1797,-3.2997,0.0,top
D5,28.4397,-10.3097,0.0,top
D6,124.3197,-9.3197,0.0,top
D7,87.1797,-30.7897,90.0,top
D8,68.1797,-29.5197,90.0,top
D9,48.7197,-31.0797,90.0,top
F1,17.7497,-44.3197,0.0,top
FB3,14.3597,-52.2197,0.0,top
FB4,14.5897,-43.9597,0.0,top
J1,8.7442,-47.0597,90.0,bottom
L1,24.4097,-18.0997,270.0,top
LED1,5.8697,-40.0097,0.0,top
LED2,5.4597,-4.1497,270.0,top
PWR_SW1,6.4407,-30.4797,270.0,top
Q1,29.9497,-23.3397,90.0,top
Q2,14.4297,-41.3997,0.0,top
Q3,33.5197,-23.3297,270.0,top
R1,23.3397,-39.9397,90.0,top
R10,21.3097,-39.9497,90.0,top
R11,18.3297,-42.5997,270.0,top
R12,16.820347,-42.622863,90.0,top
R13,30.0897,-19.8697,0.0,top
R14,33.1497,-20.8897,180.0,top
R2,10.2897,-40.0497,0.0,top
R3,24.3497,-39.9497,270.0,top
R4,25.2997,-39.9497,270.0,top
R5,30.0897,-20.8797,180.0,top
R6,5.4597,-6.0097,90.0,top
R7,13.9097,-49.3997,0.0,top
R8,14.0797,-45.4097,0.0,top
RES1,5.8307,-16.3997,90.0,top
U1,21.9322,-43.1597,270.0,top
U3,17.1097,-47.3197,180.0,top
U4,36.9997,-23.1897,270.0,top
Y1,7.7697,-22.0797,90.0,top
